gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20;
paz,0.420221,0.672266,0.000000,0.366877,0.589283,-0.016963,0.367472,0.514655,-0.032268,0.432980,0.472985,-0.048725,0.485919,0.448373,-0.063734,0.417159,0.384183,-0.016330,0.397818,0.265701,-0.031830,0.385990,0.196993,-0.042318,0.379938,0.137346,-0.050657,0.471442,0.396162,-0.022427,0.494985,0.265891,-0.038129,0.508611,0.195816,-0.046507,0.525427,0.139906,-0.053491,0.512732,0.436760,-0.031463,0.533148,0.355170,-0.046646,0.503314,0.399112,-0.045111,0.485354,0.434365,-0.042270,0.541496,0.499366,-0.043859,0.562525,0.445178,-0.055601,0.533640,0.464851,-0.054990,0.511715,0.490745,-0.052916
paz,0.415589,0.651441,0.000000,0.357267,0.550785,-0.006809,0.349892,0.467391,-0.013927,0.374221,0.414538,-0.023806,0.416967,0.406825,-0.032401,0.430307,0.362550,-0.001604,0.418773,0.244505,-0.009199,0.415632,0.177833,-0.012629,0.417601,0.120583,-0.016404,0.471235,0.382634,-0.011248,0.498759,0.260229,-0.019767,0.504026,0.189645,-0.022509,0.513762,0.140061,-0.025442,0.495100,0.425082,-0.023251,0.492262,0.346105,-0.036475,0.443435,0.382740,-0.033785,0.419979,0.412131,-0.029208,0.499150,0.483883,-0.037719,0.480986,0.427059,-0.048251,0.433121,0.453446,-0.046204,0.409120,0.487020,-0.042500
paz,0.510849,0.862343,0.000000,0.427776,0.795546,-0.035368,0.402733,0.714249,-0.065168,0.466856,0.668856,-0.094425,0.538039,0.641167,-0.123518,0.462011,0.531903,-0.047615,0.425978,0.379457,-0.078930,0.408253,0.284966,-0.102540,0.393474,0.206741,-0.120836,0.542729,0.545890,-0.053168,0.567379,0.377531,-0.085710,0.588545,0.264273,-0.110250,0.605583,0.177601,-0.129868,0.603590,0.596890,-0.062119,0.629953,0.495655,-0.092550,0.601389,0.508163,-0.105481,0.576783,0.519523,-0.113307,0.649341,0.676449,-0.075671,0.663237,0.598816,-0.100879,0.632113,0.612066,-0.109526,0.605254,0.639653,-0.115185
paz,0.510209,0.836133,0.000000,0.440682,0.767134,-0.028056,0.417003,0.690591,-0.052238,0.470889,0.647732,-0.076093,0.533190,0.622956,-0.100247,0.465969,0.526064,-0.042302,0.434880,0.383851,-0.067610,0.419325,0.300460,-0.086483,0.403338,0.233729,-0.101625,0.531803,0.541653,-0.048319,0.545443,0.390051,-0.073283,0.556646,0.291495,-0.093172,0.562337,0.212900,-0.110384,0.581361,0.589131,-0.056805,0.595652,0.500068,-0.080154,0.582868,0.484006,-0.094139,0.569025,0.467657,-0.104302,0.617671,0.660742,-0.068878,0.629213,0.605656,-0.088995,0.621310,0.596798,-0.098962,0.613229,0.595594,-0.106738
paz,0.491586,0.741006,0.000000,0.410890,0.667193,-0.007084,0.370975,0.597680,-0.020247,0.354971,0.543621,-0.036902,0.345106,0.498472,-0.052886,0.423984,0.461366,-0.011729,0.398315,0.344163,-0.027460,0.382634,0.280452,-0.038708,0.371477,0.223956,-0.047752,0.460807,0.473103,-0.024135,0.446496,0.341015,-0.041804,0.423046,0.268877,-0.052974,0.408333,0.210990,-0.062137,0.492342,0.508742,-0.037989,0.451807,0.422067,-0.055495,0.399414,0.451548,-0.055903,0.375354,0.480027,-0.054771,0.510285,0.560531,-0.054331,0.464081,0.504438,-0.069017,0.412221,0.513910,-0.069610,0.383268,0.530542,-0.068569
paz,0.522618,0.742721,0.000000,0.446473,0.660913,-0.006697,0.411794,0.587246,-0.019102,0.421993,0.540160,-0.035418,0.461583,0.521698,-0.050341,0.470579,0.463421,-0.005331,0.423537,0.351242,-0.018323,0.401914,0.296139,-0.025586,0.385504,0.245596,-0.032111,0.518263,0.478687,-0.018651,0.530390,0.355410,-0.032506,0.542596,0.288890,-0.038628,0.557656,0.238368,-0.044214,0.547028,0.521127,-0.034396,0.523476,0.441041,-0.051457,0.489290,0.459669,-0.051039,0.477299,0.466463,-0.048805,0.556026,0.583077,-0.052456,0.509708,0.527862,-0.065377,0.467266,0.558255,-0.063425,0.450028,0.591958,-0.060539
paz,0.483629,0.712759,0.000000,0.447259,0.624561,-0.001305,0.438508,0.539860,-0.006001,0.444783,0.476964,-0.014175,0.459645,0.425463,-0.021904,0.452785,0.450253,0.002138,0.423734,0.353186,-0.006975,0.406030,0.303479,-0.013808,0.392445,0.257631,-0.019959,0.471575,0.460509,-0.008448,0.474439,0.355444,-0.021372,0.472903,0.299445,-0.031344,0.472712,0.254292,-0.039242,0.488731,0.492008,-0.020195,0.473654,0.463117,-0.033275,0.458143,0.520036,-0.034430,0.456633,0.552974,-0.033256,0.503036,0.537975,-0.033821,0.489875,0.524862,-0.044287,0.473404,0.556090,-0.045484,0.468059,0.576807,-0.044664
paz,0.589122,0.669405,-0.000000,0.539677,0.579272,-0.010555,0.530734,0.497727,-0.019156,0.568163,0.440502,-0.029624,0.610195,0.399149,-0.038208,0.560006,0.382772,0.003487,0.527569,0.286335,-0.001795,0.508086,0.232244,-0.005961,0.496628,0.183583,-0.010099,0.607042,0.387651,-0.001577,0.621899,0.268692,-0.005966,0.629042,0.206942,-0.010213,0.636509,0.161022,-0.014635,0.643308,0.419654,-0.009601,0.649401,0.337823,-0.015327,0.631028,0.359920,-0.013399,0.624238,0.380781,-0.011469,0.667683,0.471588,-0.020421,0.654795,0.417987,-0.024978,0.623087,0.439359,-0.022869,0.604621,0.469214,-0.020289
paz,0.656270,0.679776,-0.000000,0.595050,0.603316,-0.025115,0.582111,0.519827,-0.043053,0.641884,0.458088,-0.061614,0.703082,0.409622,-0.078376,0.619037,0.371833,-0.013882,0.588574,0.252540,-0.027957,0.572818,0.182940,-0.036229,0.560606,0.124287,-0.043032,0.683278,0.372708,-0.017359,0.701124,0.231261,-0.031448,0.717814,0.154148,-0.039820,0.733627,0.089676,-0.046131,0.728649,0.406000,-0.025497,0.750595,0.315109,-0.042303,0.729730,0.375321,-0.042822,0.715137,0.418254,-0.039930,0.760973,0.466697,-0.037653,0.780218,0.404145,-0.050902,0.758361,0.433888,-0.051942,0.739298,0.466565,-0.050141
paz,0.655839,0.708996,-0.000000,0.596325,0.630583,-0.021971,0.588380,0.550446,-0.037563,0.655760,0.495686,-0.053444,0.722725,0.457673,-0.067650,0.627731,0.403573,-0.011597,0.601552,0.282569,-0.022312,0.590762,0.216495,-0.028680,0.582450,0.161912,-0.034481,0.689296,0.410070,-0.014772,0.713211,0.274088,-0.023275,0.735140,0.201678,-0.028599,0.754937,0.143603,-0.034098,0.731695,0.449016,-0.022139,0.754398,0.356892,-0.033082,0.741351,0.387457,-0.033658,0.732664,0.412397,-0.032985,0.758355,0.513263,-0.033238,0.767528,0.457301,-0.042451,0.741997,0.483676,-0.042846,0.723774,0.516637,-0.041974
paz,0.644597,0.701798,-0.000000,0.588818,0.628606,-0.020048,0.578807,0.550397,-0.035515,0.641038,0.499802,-0.051638,0.703934,0.464926,-0.066259,0.612557,0.412913,-0.013044,0.587278,0.296425,-0.025438,0.575429,0.231357,-0.032926,0.568346,0.176785,-0.039232,0.676029,0.415669,-0.016990,0.696916,0.276834,-0.027838,0.717725,0.204018,-0.034080,0.737673,0.147570,-0.040042,0.721164,0.449469,-0.024596,0.739931,0.358006,-0.036944,0.723034,0.397806,-0.035973,0.713938,0.429164,-0.034009,0.748538,0.506629,-0.035881,0.751522,0.455764,-0.045953,0.722996,0.489062,-0.045327,0.704990,0.523309,-0.043425
paz,0.320471,0.664260,0.000000,0.369568,0.620175,-0.016831,0.412863,0.567503,-0.024173,0.408030,0.509997,-0.031799,0.376155,0.461381,-0.038350,0.428842,0.422589,-0.004316,0.471877,0.330719,-0.010883,0.494617,0.282236,-0.014676,0.511142,0.238762,-0.018406,0.386824,0.406727,-0.006273,0.411465,0.291791,-0.014807,0.422531,0.234948,-0.021982,0.433903,0.189714,-0.028070,0.343669,0.418622,-0.011496,0.341966,0.352950,-0.025213,0.338365,0.403116,-0.031115,0.344481,0.441661,-0.031863,0.300658,0.449737,-0.019450,0.301320,0.414814,-0.031857,0.310338,0.439562,-0.037389,0.326604,0.466457,-0.038660
paz,0.353691,0.677857,0.000000,0.403747,0.630655,-0.017527,0.449544,0.573777,-0.024050,0.448363,0.518129,-0.030704,0.424859,0.473833,-0.036208,0.465680,0.431904,-0.003623,0.512367,0.341988,-0.010840,0.536776,0.294835,-0.015536,0.554017,0.249030,-0.019591,0.425072,0.413824,-0.004477,0.456535,0.310244,-0.013414,0.470211,0.257887,-0.021565,0.483684,0.213849,-0.028128,0.382324,0.421057,-0.008762,0.379759,0.372867,-0.022311,0.375337,0.438092,-0.028320,0.381959,0.484593,-0.028931,0.339979,0.443734,-0.016052,0.337942,0.423391,-0.027387,0.344332,0.455775,-0.032897,0.360172,0.483035,-0.034161
paz,0.324376,0.648666,0.000000,0.378217,0.618103,-0.023932,0.426279,0.570830,-0.036486,0.414789,0.520272,-0.047809,0.373671,0.469304,-0.057748,0.430276,0.407138,-0.015930,0.476053,0.304078,-0.026455,0.500432,0.248457,-0.033115,0.515096,0.198258,-0.038832,0.381819,0.389505,-0.015305,0.406095,0.269828,-0.027343,0.413995,0.206529,-0.035739,0.418261,0.157452,-0.042667,0.336630,0.399621,-0.017834,0.331754,0.362186,-0.031843,0.326120,0.424262,-0.034645,0.330223,0.466056,-0.033728,0.296530,0.427984,-0.024160,0.301246,0.418242,-0.035662,0.310387,0.463266,-0.038503,0.326389,0.497712,-0.037799
paz,0.331353,0.642044,-0.000000,0.397745,0.600885,-0.016933,0.442353,0.533251,-0.027713,0.410131,0.474289,-0.039689,0.362954,0.429261,-0.050356,0.436467,0.374064,-0.009790,0.478686,0.262540,-0.022246,0.500897,0.198745,-0.029671,0.513384,0.143935,-0.035864,0.377769,0.362231,-0.014769,0.396153,0.233061,-0.030261,0.402033,0.162423,-0.039834,0.405938,0.106635,-0.046753,0.325643,0.377700,-0.022812,0.323547,0.344413,-0.039621,0.331093,0.417221,-0.041239,0.344457,0.464521,-0.038486,0.283183,0.411289,-0.034526,0.293845,0.405054,-0.046828,0.307721,0.455225,-0.048527,0.326203,0.491569,-0.046622
paz,0.403374,0.715350,0.000000,0.451902,0.672421,-0.012999,0.487707,0.619978,-0.022086,0.467986,0.578388,-0.033286,0.436516,0.546127,-0.043560,0.475818,0.460423,-0.002564,0.505331,0.360885,-0.012719,0.524930,0.307388,-0.020730,0.538175,0.258513,-0.027456,0.423795,0.453866,-0.008385,0.424468,0.346532,-0.021044,0.425077,0.291374,-0.031206,0.424749,0.248728,-0.038975,0.379156,0.471640,-0.017011,0.372038,0.460849,-0.030650,0.387215,0.531173,-0.034146,0.405058,0.575309,-0.033530,0.343160,0.505205,-0.029032,0.347748,0.512203,-0.038733,0.364592,0.558053,-0.041073,0.385132,0.591556,-0.040494
paz,0.362608,0.673417,0.000000,0.411761,0.619194,-0.011879,0.446701,0.552133,-0.018019,0.433598,0.489267,-0.026020,0.406099,0.441561,-0.033263,0.443077,0.410150,0.002519,0.478369,0.312162,-0.005470,0.497814,0.257157,-0.011462,0.509150,0.206903,-0.016798,0.396723,0.399129,-0.002891,0.399466,0.284714,-0.013174,0.396361,0.226039,-0.021613,0.392537,0.184201,-0.028325,0.356303,0.414779,-0.011701,0.349521,0.367506,-0.025999,0.354760,0.422603,-0.030408,0.362096,0.458753,-0.030341,0.321829,0.447709,-0.023386,0.327290,0.431224,-0.035118,0.341424,0.477859,-0.038601,0.356912,0.514144,-0.038624
paz,0.339892,0.659385,0.000000,0.400045,0.612136,-0.010251,0.445277,0.558587,-0.019655,0.430325,0.515412,-0.031760,0.390855,0.487072,-0.042905,0.436228,0.397789,-0.002703,0.478245,0.291179,-0.014205,0.499649,0.233026,-0.023106,0.514601,0.178672,-0.030470,0.383515,0.391693,-0.010742,0.382865,0.271373,-0.024482,0.378040,0.210230,-0.034595,0.375466,0.162940,-0.042507,0.336911,0.408794,-0.021396,0.332056,0.377003,-0.035556,0.337737,0.446998,-0.036760,0.349041,0.495019,-0.034934,0.297821,0.440887,-0.035371,0.300340,0.431647,-0.045131,0.313671,0.485074,-0.045384,0.332284,0.527515,-0.043517
paz,0.346178,0.633306,0.000000,0.399592,0.589428,-0.021487,0.440514,0.523391,-0.029527,0.420236,0.459833,-0.036598,0.380707,0.416440,-0.042735,0.434239,0.366668,-0.007065,0.476603,0.258569,-0.014926,0.503604,0.194784,-0.019621,0.522471,0.136866,-0.023895,0.384708,0.353147,-0.006613,0.397243,0.233418,-0.015478,0.399433,0.168252,-0.021856,0.402556,0.118175,-0.027085,0.341596,0.366518,-0.010077,0.326012,0.303096,-0.025184,0.318359,0.358181,-0.029457,0.321537,0.395772,-0.028651,0.309019,0.396578,-0.016941,0.307087,0.370121,-0.029636,0.316537,0.418409,-0.033367,0.333513,0.457982,-0.033057
